BRUKSDØGN;PRISOMRÅDE;VOLUM_KWH;ANTALL_ORGANISASJONER;ANTALL_MÅLEPUNKT
2022-01-22;NO1;339606,230;20;57
2022-01-22;NO2;812569,962;15;25
2022-01-22;NO3;945957,460;6;8
2022-01-22;NO4;38910,667;6;16
2022-01-22;NO5;109061,315;6;11
2022-01-23;NO1;338983,634;20;57
2022-01-23;NO2;808922,651;15;25
2022-01-23;NO3;944913,370;6;8
2022-01-23;NO4;39062,916;6;16
2022-01-23;NO5;80887,974;6;11
2022-01-24;NO1;338319,176;20;57
2022-01-24;NO2;808556,709;15;25
2022-01-24;NO3;948132,390;6;8
2022-01-24;NO4;38898,726;6;16
2022-01-24;NO5;85090,006;6;11
2022-01-25;NO1;341508,100;20;57
2022-01-25;NO2;809117,595;15;25
2022-01-25;NO3;944693,100;6;8
2022-01-25;NO4;38598,453;6;16
2022-01-25;NO5;109982,064;6;11
2022-01-26;NO1;330490,678;20;57
2022-01-26;NO2;807478,858;15;25
2022-01-26;NO3;948423,600;6;8
2022-01-26;NO4;38555,442;6;16
2022-01-26;NO5;109469,720;6;12
2022-01-27;NO1;324584,670;20;57
2022-01-27;NO2;804301,858;15;25
2022-01-27;NO3;945640,260;6;8
2022-01-27;NO4;38466,250;6;16
2022-01-27;NO5;93188,518;6;12
2022-01-28;NO1;327872,160;20;57
2022-01-28;NO2;807326,848;15;25
2022-01-28;NO3;947846,640;6;8
2022-01-28;NO4;38421,243;6;16
2022-01-28;NO5;107453,690;6;12
2022-01-29;NO1;322917,223;20;57
2022-01-29;NO2;801444,308;15;25
2022-01-29;NO3;947096,030;6;8
2022-01-29;NO4;38377,027;6;16
2022-01-29;NO5;101186,239;6;12
2022-01-30;NO1;319803,339;20;57
2022-01-30;NO2;800255,872;15;25
2022-01-30;NO3;948453,930;6;8
2022-01-30;NO4;38491,532;6;16
2022-01-30;NO5;92165,683;6;12
2022-01-31;NO1;333365,991;21;58
2022-01-31;NO2;802222,333;15;25
2022-01-31;NO3;951079,460;6;8
2022-01-31;NO4;38640,394;6;16
2022-01-31;NO5;103914,883;6;12
2022-02-01;NO1;335981,851;21;58
2022-02-01;NO2;800495,802;15;25
2022-02-01;NO3;949998,620;6;8
2022-02-01;NO4;38953,172;6;16
2022-02-01;NO5;77983,320;6;12
2022-02-02;NO1;336744,359;21;58
2022-02-02;NO2;799524,971;15;25
2022-02-02;NO3;949130,720;6;8
2022-02-02;NO4;39562,545;6;16
2022-02-02;NO5;90475,576;6;12
2022-02-03;NO1;336021,269;21;58
2022-02-03;NO2;812100,860;15;25
2022-02-03;NO3;943791,320;6;8
2022-02-03;NO4;39528,267;6;16
2022-02-03;NO5;113184,102;6;12
2022-02-04;NO1;327724,113;21;58
2022-02-04;NO2;811776,648;15;25
2022-02-04;NO3;947390,250;6;8
2022-02-04;NO4;39066,579;6;16
2022-02-04;NO5;115147,678;6;12
2022-02-05;NO1;326169,885;21;58
2022-02-05;NO2;815209,082;15;25
2022-02-05;NO3;947202,080;6;8
2022-02-05;NO4;39532,783;6;16
2022-02-05;NO5;116948,964;6;12
2022-02-06;NO1;325984,999;21;58
2022-02-06;NO2;813512,006;15;25
2022-02-06;NO3;945554,290;6;8
2022-02-06;NO4;39309,663;6;16
2022-02-06;NO5;115541,413;6;12
2022-02-07;NO1;326995,725;21;58
2022-02-07;NO2;813875,737;15;25
2022-02-07;NO3;947766,300;6;8
2022-02-07;NO4;39367,471;7;17
2022-02-07;NO5;116512,305;6;12
2022-02-08;NO1;318832,696;21;58
2022-02-08;NO2;812604,346;15;25
2022-02-08;NO3;948065,150;6;8
2022-02-08;NO4;39435,150;7;17
2022-02-08;NO5;75321,845;6;12
2022-02-09;NO1;320702,690;21;58
2022-02-09;NO2;809293,924;15;25
2022-02-09;NO3;949308,810;6;8
2022-02-09;NO4;39424,101;7;17
2022-02-09;NO5;101654,605;6;12
2022-02-10;NO1;321564,032;21;58
2022-02-10;NO2;804845,000;15;26
2022-02-10;NO3;949711,070;6;8
2022-02-10;NO4;39325,844;7;17
2022-02-10;NO5;118845,151;6;12
2022-02-11;NO1;325708,462;21;58
2022-02-11;NO2;817486,430;15;26
2022-02-11;NO3;950967,590;6;8
2022-02-11;NO4;39195,508;7;17
2022-02-11;NO5;121872,653;6;12
2022-02-12;NO1;324262,343;21;58
2022-02-12;NO2;767639,962;15;26
2022-02-12;NO3;946040,490;6;8
2022-02-12;NO4;39179,516;7;17
2022-02-12;NO5;123746,643;6;12
2022-02-13;NO1;320875,138;21;58
2022-02-13;NO2;757417,555;15;26
2022-02-13;NO3;942337,970;6;8
2022-02-13;NO4;39199,555;7;17
2022-02-13;NO5;105232,196;6;12
2022-02-14;NO1;324848,755;21;58
2022-02-14;NO2;616515,298;15;26
2022-02-14;NO3;944205,770;6;8
2022-02-14;NO4;39415,976;7;17
2022-02-14;NO5;122353,448;6;12
2022-02-15;NO1;325644,582;21;58
2022-02-15;NO2;813212,755;15;26
2022-02-15;NO3;948080,780;6;8
2022-02-15;NO4;39875,815;7;17
2022-02-15;NO5;123436,464;6;12
2022-02-16;NO1;324890,345;21;58
2022-02-16;NO2;825909,483;15;26
2022-02-16;NO3;948758,590;6;8
2022-02-16;NO4;40231,938;7;17
2022-02-16;NO5;121757,304;6;12
2022-02-17;NO1;322503,960;21;58
2022-02-17;NO2;833841,247;15;26
2022-02-17;NO3;950723,790;6;8
2022-02-17;NO4;40303,432;7;17
2022-02-17;NO5;120852,892;6;12
2022-02-18;NO1;324773,987;21;58
2022-02-18;NO2;833049,550;15;26
2022-02-18;NO3;951888,560;6;8
2022-02-18;NO4;40443,280;7;17
2022-02-18;NO5;121266,226;6;12
2022-02-19;NO1;323401,307;21;58
2022-02-19;NO2;831073,516;15;26
2022-02-19;NO3;952138,060;6;8
2022-02-19;NO4;40353,175;7;17
2022-02-19;NO5;120519,365;6;12
2022-02-20;NO1;325432,228;21;58
2022-02-20;NO2;824578,365;15;26
2022-02-20;NO3;950917,780;6;8
2022-02-20;NO4;40302,697;7;17
2022-02-20;NO5;120045,166;6;12
2022-02-21;NO1;328877,207;21;58
2022-02-21;NO2;830006,512;15;26
2022-02-21;NO3;951134,430;6;8
2022-02-21;NO4;40408,229;7;17
2022-02-21;NO5;120582,877;6;12
2022-02-22;NO1;329484,558;21;58
2022-02-22;NO2;839368,642;15;26
2022-02-22;NO3;952279,170;6;8
2022-02-22;NO4;40512,594;7;17
2022-02-22;NO5;121574,722;6;12
2022-02-23;NO1;325704,594;21;58
2022-02-23;NO2;843966,462;15;26
2022-02-23;NO3;949506,330;6;8
2022-02-23;NO4;41493,432;7;17
2022-02-23;NO5;120947,338;6;12
2022-02-24;NO1;324245,482;21;58
2022-02-24;NO2;841633,829;15;26
2022-02-24;NO3;949640,240;6;8
2022-02-24;NO4;42564,836;7;17
2022-02-24;NO5;119770,608;6;12
2022-02-25;NO1;326524,097;21;58
2022-02-25;NO2;839888,838;15;26
2022-02-25;NO3;948839,490;6;8
2022-02-25;NO4;63302,034;7;17
2022-02-25;NO5;119747,222;6;12
2022-02-26;NO1;324657,364;21;58
2022-02-26;NO2;840320,766;15;26
2022-02-26;NO3;943505,460;6;8
2022-02-26;NO4;66862,376;7;17
2022-02-26;NO5;120808,601;6;12
2022-02-27;NO1;321092,070;21;58
2022-02-27;NO2;836522,076;15;26
2022-02-27;NO3;937794,360;6;8
2022-02-27;NO4;67524,194;7;17
2022-02-27;NO5;121076,233;6;12
2022-02-28;NO1;323825,662;21;58
2022-02-28;NO2;839920,819;15;26
2022-02-28;NO3;942617,290;6;8
2022-02-28;NO4;67427,466;7;18
2022-02-28;NO5;121883,229;6;12
2022-03-01;NO1;323966,414;21;58
2022-03-01;NO2;846520,028;15;26
2022-03-01;NO3;944764,850;6;8
2022-03-01;NO4;82908,296;7;18
2022-03-01;NO5;121104,984;6;12
2022-03-02;NO1;323915,454;21;58
2022-03-02;NO2;843695,859;15;26
2022-03-02;NO3;946827,740;6;8
2022-03-02;NO4;96924,195;7;19
2022-03-02;NO5;121776,382;6;12
2022-03-03;NO1;324686,157;21;58
2022-03-03;NO2;843010,265;15;26
2022-03-03;NO3;945342,680;6;8
2022-03-03;NO4;83241,824;7;19
2022-03-03;NO5;121659,564;6;12
2022-03-04;NO1;325575,703;21;58
2022-03-04;NO2;846512,349;15;26
2022-03-04;NO3;948554,070;6;8
2022-03-04;NO4;111885,556;7;19
2022-03-04;NO5;121752,627;6;12
2022-03-05;NO1;322285,966;21;58
2022-03-05;NO2;840159,372;15;26
2022-03-05;NO3;947463,020;6;8
2022-03-05;NO4;111538,473;7;19
2022-03-05;NO5;121112,697;6;12
2022-03-06;NO1;321939,368;21;58
2022-03-06;NO2;837483,368;15;26
2022-03-06;NO3;945285,000;6;8
2022-03-06;NO4;111189,199;7;19
2022-03-06;NO5;120549,215;6;12
2022-03-07;NO1;316108,642;21;58
2022-03-07;NO2;840982,201;15;26
2022-03-07;NO3;946699,620;6;8
2022-03-07;NO4;111883,832;7;19
2022-03-07;NO5;120310,087;6;12
2022-03-08;NO1;251616,225;21;58
2022-03-08;NO2;843735,945;15;26
2022-03-08;NO3;947937,860;6;8
2022-03-08;NO4;107805,420;7;19
2022-03-08;NO5;119827,150;6;12
2022-03-09;NO1;236637,962;21;58
2022-03-09;NO2;838273,681;15;26
2022-03-09;NO3;941419,230;6;8
2022-03-09;NO4;103584,082;7;19
2022-03-09;NO5;120841,663;6;12
2022-03-10;NO1;234833,314;21;58
2022-03-10;NO2;825953,988;15;26
2022-03-10;NO3;939937,980;6;8
2022-03-10;NO4;111674,743;7;19
2022-03-10;NO5;122543,525;6;12
2022-03-11;NO1;260131,776;21;58
2022-03-11;NO2;824633,972;15;26
2022-03-11;NO3;938641,290;6;8
2022-03-11;NO4;112542,592;7;19
2022-03-11;NO5;122048,354;6;12
2022-03-12;NO1;261437,399;21;58
2022-03-12;NO2;833291,136;15;26
2022-03-12;NO3;931344,490;6;8
2022-03-12;NO4;112809,096;7;19
2022-03-12;NO5;122052,563;6;12
2022-03-13;NO1;281860,991;21;58
2022-03-13;NO2;831517,360;15;26
2022-03-13;NO3;938936,790;6;8
2022-03-13;NO4;112808,541;7;19
2022-03-13;NO5;120658,686;6;12
2022-03-14;NO1;323932,115;21;58
2022-03-14;NO2;836257,510;15;26
2022-03-14;NO3;940186,180;6;8
2022-03-14;NO4;112224,564;7;19
2022-03-14;NO5;119326,368;6;12
2022-03-15;NO1;308710,469;21;58
2022-03-15;NO2;839509,203;15;26
2022-03-15;NO3;940213,360;6;8
2022-03-15;NO4;113112,409;7;19
2022-03-15;NO5;118379,513;6;12
2022-03-16;NO1;319527,001;21;58
2022-03-16;NO2;838159,279;15;26
2022-03-16;NO3;941367,850;6;8
2022-03-16;NO4;113305,801;7;19
2022-03-16;NO5;117731,636;6;12
2022-03-17;NO1;321439,697;21;58
2022-03-17;NO2;844494,843;15;26
2022-03-17;NO3;942520,410;6;8
2022-03-17;NO4;112502,040;7;19
2022-03-17;NO5;119356,985;6;12
2022-03-18;NO1;320526,286;21;58
2022-03-18;NO2;840033,226;15;26
2022-03-18;NO3;948030,790;6;8
2022-03-18;NO4;112938,094;7;19
2022-03-18;NO5;122355,179;6;12
2022-03-19;NO1;319012,203;21;58
2022-03-19;NO2;837284,328;15;26
2022-03-19;NO3;943587,370;6;8
2022-03-19;NO4;112703,781;7;19
2022-03-19;NO5;122042,318;6;12
2022-03-20;NO1;318166,098;21;58
2022-03-20;NO2;838909,649;15;26
2022-03-20;NO3;943981,100;6;8
2022-03-20;NO4;113060,365;7;19
2022-03-20;NO5;122062,169;6;12
2022-03-21;NO1;320553,851;21;58
2022-03-21;NO2;837015,528;15;26
2022-03-21;NO3;942495,420;6;8
2022-03-21;NO4;112715,487;7;19
2022-03-21;NO5;120901,327;6;12
2022-03-22;NO1;322532,056;21;58
2022-03-22;NO2;840073,940;15;26
2022-03-22;NO3;945357,850;6;8
2022-03-22;NO4;113636,140;7;19
2022-03-22;NO5;119974,607;6;12
2022-03-23;NO1;324531,121;22;59
2022-03-23;NO2;838178,414;15;26
2022-03-23;NO3;942272,960;6;8
2022-03-23;NO4;113479,571;7;19
2022-03-23;NO5;119084,668;6;12
2022-03-24;NO1;320504,791;21;58
2022-03-24;NO2;833989,603;15;26
2022-03-24;NO3;940794,420;6;8
2022-03-24;NO4;114580,737;7;19
2022-03-24;NO5;118305,067;6;12
2022-03-25;NO1;319583,560;21;58
2022-03-25;NO2;839355,580;15;26
2022-03-25;NO3;941399,790;6;8
2022-03-25;NO4;114524,192;7;19
2022-03-25;NO5;118334,607;6;12
2022-03-26;NO1;315977,429;21;58
2022-03-26;NO2;834429,326;15;26
2022-03-26;NO3;944855,860;6;8
2022-03-26;NO4;114043,424;7;19
2022-03-26;NO5;118185,658;6;12
2022-03-27;NO1;302266,191;21;58
2022-03-27;NO2;797058,968;15;26
2022-03-27;NO3;906743,540;6;8
2022-03-27;NO4;106595,479;7;19
2022-03-27;NO5;113306,208;6;12
2022-03-28;NO1;319975,862;21;58
2022-03-28;NO2;839849,294;15;26
2022-03-28;NO3;945057,990;6;8
2022-03-28;NO4;114426,833;7;19
2022-03-28;NO5;114002,782;6;12
2022-03-29;NO1;319727,660;21;58
2022-03-29;NO2;840197,372;15;26
2022-03-29;NO3;948241,670;6;8
2022-03-29;NO4;115311,415;7;19
2022-03-29;NO5;119753,475;6;12
2022-03-30;NO1;322516,366;21;58
2022-03-30;NO2;838155,437;15;26
2022-03-30;NO3;949530,468;6;8
2022-03-30;NO4;115116,692;7;19
2022-03-30;NO5;118330,338;6;12
2022-03-31;NO1;326473,096;21;58
2022-03-31;NO2;835463,902;15;26
2022-03-31;NO3;947736,979;6;8
2022-03-31;NO4;114937,936;7;19
2022-03-31;NO5;117542,208;6;12
2022-04-01;NO1;330363,083;21;58
2022-04-01;NO2;831868,719;14;25
2022-04-01;NO3;949438,340;6;8
2022-04-01;NO4;114291,875;8;20
2022-04-01;NO5;122135,775;6;12
2022-04-02;NO1;328583,960;21;58
2022-04-02;NO2;830720,954;14;25
2022-04-02;NO3;952116,280;6;8
2022-04-02;NO4;112213,117;8;20
2022-04-02;NO5;119501,653;6;12
2022-04-03;NO1;325086,278;21;58
2022-04-03;NO2;824883,121;14;25
2022-04-03;NO3;949623,930;6;8
2022-04-03;NO4;112375,218;8;20
2022-04-03;NO5;118852,866;6;12
2022-04-04;NO1;328412,601;21;58
2022-04-04;NO2;816989,358;14;25
2022-04-04;NO3;950181,800;6;8
2022-04-04;NO4;112915,517;8;20
2022-04-04;NO5;119403,873;6;12
2022-04-05;NO1;328397,363;21;58
2022-04-05;NO2;835389,946;14;25
2022-04-05;NO3;942990,570;6;8
2022-04-05;NO4;113057,682;8;20
2022-04-05;NO5;121499,672;6;12
2022-04-06;NO1;332449,102;21;58
2022-04-06;NO2;358240,087;14;25
2022-04-06;NO3;939331,310;6;8
2022-04-06;NO4;106600,972;8;20
2022-04-06;NO5;122065,643;6;12
2022-04-07;NO1;332144,572;21;58
2022-04-07;NO2;249004,286;14;25
2022-04-07;NO3;940400,980;6;8
2022-04-07;NO4;113122,718;8;20
2022-04-07;NO5;122195,968;6;12
2022-04-08;NO1;332769,789;21;58
2022-04-08;NO2;316141,905;14;25
2022-04-08;NO3;946804,980;6;8
2022-04-08;NO4;113216,375;8;20
2022-04-08;NO5;122231,765;6;12
2022-04-09;NO1;326805,109;21;58
2022-04-09;NO2;629201,532;14;25
2022-04-09;NO3;948785,730;6;8
2022-04-09;NO4;112841,044;8;20
2022-04-09;NO5;121747,956;6;12
2022-04-10;NO1;325409,511;21;58
2022-04-10;NO2;733959,966;14;25
2022-04-10;NO3;946199,190;6;8
2022-04-10;NO4;111998,039;8;20
2022-04-10;NO5;121466,610;6;12
2022-04-11;NO1;327207,233;21;58
2022-04-11;NO2;803299,665;14;25
2022-04-11;NO3;947212,400;6;8
2022-04-11;NO4;111647,803;8;20
2022-04-11;NO5;120418,526;6;12
2022-04-12;NO1;326688,446;21;58
2022-04-12;NO2;820853,123;14;25
2022-04-12;NO3;948728,990;6;8
2022-04-12;NO4;112097,378;8;20
2022-04-12;NO5;120207,186;6;12
2022-04-13;NO1;325483,081;21;58
2022-04-13;NO2;826882,729;14;25
2022-04-13;NO3;949183,580;6;8
2022-04-13;NO4;111895,480;8;20
2022-04-13;NO5;120014,431;6;12
2022-04-14;NO1;323879,364;21;58
2022-04-14;NO2;827750,426;14;25
2022-04-14;NO3;949027,480;6;8
2022-04-14;NO4;112128,000;8;20
2022-04-14;NO5;119622,266;6;12
2022-04-15;NO1;323539,797;21;58
2022-04-15;NO2;831794,610;14;25
2022-04-15;NO3;947108,940;6;8
2022-04-15;NO4;109309,523;8;20
2022-04-15;NO5;119451,081;6;12
2022-04-16;NO1;323455,225;21;58
2022-04-16;NO2;825620,783;14;25
2022-04-16;NO3;947144,410;6;8
2022-04-16;NO4;108949,389;8;20
2022-04-16;NO5;121659,408;6;12
2022-04-17;NO1;321798,771;21;58
2022-04-17;NO2;821470,790;14;25
2022-04-17;NO3;944963,290;6;8
2022-04-17;NO4;109795,817;8;20
2022-04-17;NO5;121439,702;6;12
2022-04-18;NO1;323324,941;21;58
2022-04-18;NO2;661255,534;14;25
2022-04-18;NO3;943429,320;6;8
2022-04-18;NO4;106863,847;8;20
2022-04-18;NO5;120859,427;6;12
2022-04-19;NO1;321410,852;21;58
2022-04-19;NO2;573354,251;14;25
2022-04-19;NO3;942665,070;6;8
2022-04-19;NO4;106084,828;8;20
2022-04-19;NO5;120937,707;6;12
2022-04-20;NO1;322061,749;21;58
2022-04-20;NO2;576873,224;14;25
2022-04-20;NO3;943824,150;6;8
2022-04-20;NO4;108088,886;8;20
2022-04-20;NO5;121766,770;6;12
2022-04-21;NO1;328357,821;21;58
2022-04-21;NO2;736791,615;14;25
2022-04-21;NO3;942695,300;6;8
2022-04-21;NO4;111575,967;8;20
2022-04-21;NO5;121354,341;6;12
2022-04-22;NO1;356774,236;21;58
2022-04-22;NO2;834114,621;14;25
2022-04-22;NO3;928204,460;6;8
2022-04-22;NO4;111625,162;8;20
2022-04-22;NO5;121918,087;6;12
2022-04-23;NO1;363624,259;21;58
2022-04-23;NO2;833678,531;14;25
2022-04-23;NO3;948308,780;6;8
2022-04-23;NO4;110726,919;8;20
2022-04-23;NO5;121199,490;6;12
2022-04-24;NO1;361259,132;21;58
2022-04-24;NO2;824477,508;14;25
2022-04-24;NO3;946252,920;6;8
2022-04-24;NO4;110295,675;8;20
2022-04-24;NO5;121022,846;6;12
2022-04-25;NO1;361258,251;21;58
2022-04-25;NO2;830292,232;14;25
2022-04-25;NO3;946632,780;6;8
2022-04-25;NO4;111503,420;8;20
2022-04-25;NO5;113671,552;6;12
2022-04-26;NO1;352684,955;21;58
2022-04-26;NO2;829158,954;14;25
2022-04-26;NO3;947703,240;6;8
2022-04-26;NO4;112331,817;8;20
2022-04-26;NO5;122396,605;6;12
2022-04-27;NO1;353949,154;21;58
2022-04-27;NO2;830993,135;14;25
2022-04-27;NO3;946198,370;6;8
2022-04-27;NO4;112956,225;8;20
2022-04-27;NO5;125251,261;6;12
2022-04-28;NO1;355941,104;21;58
2022-04-28;NO2;839157,264;14;25
2022-04-28;NO3;943903,030;6;8
2022-04-28;NO4;112803,430;8;20
2022-04-28;NO5;117499,201;6;12
2022-04-29;NO1;352975,111;21;58
2022-04-29;NO2;838080,548;14;25
2022-04-29;NO3;946227,651;6;8
2022-04-29;NO4;112674,011;8;20
2022-04-29;NO5;130512,811;6;12
2022-04-30;NO1;351009,317;21;58
2022-04-30;NO2;835691,538;14;25
2022-04-30;NO3;948036,190;6;8
2022-04-30;NO4;112263,992;8;20
2022-04-30;NO5;130482,854;6;12
2022-05-01;NO1;350385,557;21;58
2022-05-01;NO2;828428,250;14;25
2022-05-01;NO3;944956,110;6;8
2022-05-01;NO4;112534,809;8;20
2022-05-01;NO5;129709,069;6;12
2022-05-02;NO1;355547,489;21;58
2022-05-02;NO2;822176,481;14;25
2022-05-02;NO3;946040,090;6;8
2022-05-02;NO4;112602,493;8;20
2022-05-02;NO5;129218,982;6;12
2022-05-03;NO1;354365,817;21;58
2022-05-03;NO2;825996,127;14;25
2022-05-03;NO3;840666,140;6;8
2022-05-03;NO4;112668,927;8;20
2022-05-03;NO5;128794,696;6;12
2022-05-04;NO1;344458,766;21;58
2022-05-04;NO2;833001,932;14;25
2022-05-04;NO3;930339,530;6;8
2022-05-04;NO4;112700,411;8;20
2022-05-04;NO5;127997,060;6;12
2022-05-05;NO1;300641,942;21;58
2022-05-05;NO2;835251,615;14;25
2022-05-05;NO3;947231,220;6;8
2022-05-05;NO4;112480,388;9;21
2022-05-05;NO5;130081,584;6;12
2022-05-06;NO1;305053,082;21;58
2022-05-06;NO2;834723,232;14;25
2022-05-06;NO3;936588,430;6;8
2022-05-06;NO4;112662,078;9;21
2022-05-06;NO5;131248,546;6;12
2022-05-07;NO1;296806,619;21;58
2022-05-07;NO2;830374,453;14;25
2022-05-07;NO3;937982,980;6;8
2022-05-07;NO4;112360,722;9;21
2022-05-07;NO5;131131,802;6;12
2022-05-08;NO1;295404,892;21;58
2022-05-08;NO2;819450,081;14;25
2022-05-08;NO3;937370,130;6;8
2022-05-08;NO4;112242,951;9;21
2022-05-08;NO5;128655,040;6;12
2022-05-09;NO1;296715,972;21;58
2022-05-09;NO2;831694,171;14;25
2022-05-09;NO3;859927,400;6;8
2022-05-09;NO4;112348,589;9;21
2022-05-09;NO5;126335,950;6;12
2022-05-10;NO1;296215,431;21;58
2022-05-10;NO2;839910,561;14;25
2022-05-10;NO3;825337,980;6;8
2022-05-10;NO4;112268,479;9;21
2022-05-10;NO5;126552,163;6;12
2022-05-11;NO1;285386,294;21;58
2022-05-11;NO2;837006,098;14;25
2022-05-11;NO3;911745,050;6;8
2022-05-11;NO4;112528,083;10;22
2022-05-11;NO5;128413,683;6;12
2022-05-12;NO1;276196,727;21;58
2022-05-12;NO2;842258,110;14;25
2022-05-12;NO3;927070,370;6;8
2022-05-12;NO4;112746,541;10;22
2022-05-12;NO5;132169,359;6;12
2022-05-13;NO1;300996,529;21;58
2022-05-13;NO2;839928,527;14;25
2022-05-13;NO3;927858,160;6;8
2022-05-13;NO4;112885,360;10;22
2022-05-13;NO5;132345,285;6;12
2022-05-14;NO1;318140,691;21;58
2022-05-14;NO2;833690,559;14;25
2022-05-14;NO3;931536,990;6;8
2022-05-14;NO4;112647,280;10;22
2022-05-14;NO5;132629,666;6;12
2022-05-15;NO1;324169,121;21;58
2022-05-15;NO2;824240,318;14;25
2022-05-15;NO3;933380,990;6;8
2022-05-15;NO4;112621,433;10;22
2022-05-15;NO5;133230,800;6;12
2022-05-16;NO1;327894,846;21;58
2022-05-16;NO2;826242,767;14;25
2022-05-16;NO3;936865,481;6;8
2022-05-16;NO4;112731,825;10;22
2022-05-16;NO5;133071,592;6;12
2022-05-17;NO1;322492,087;21;58
2022-05-17;NO2;835702,938;14;25
2022-05-17;NO3;933477,510;6;8
2022-05-17;NO4;112732,226;10;22
2022-05-17;NO5;129746,060;6;12
2022-05-18;NO1;326718,894;21;58
2022-05-18;NO2;835004,459;14;25
2022-05-18;NO3;934811,390;6;8
2022-05-18;NO4;112775,978;10;22
2022-05-18;NO5;129384,082;6;12
2022-05-19;NO1;281274,422;21;58
2022-05-19;NO2;840330,375;14;25
2022-05-19;NO3;934856,520;6;8
